word,article,english,example
bisher,,add English meaning,Bisher ist alles in Ordnung.
ein bisschen,,add English meaning,"Wenn Sie ein bisschen warten, können wir zusammen gehen."
bitten,,add English meaning,"Darf ich Sie bitten, kurz zuzuhören?"
Bitte,die,add English meaning,Die Bitte ist ein nützliches Wort.
bitte,,add English meaning,Ich wiederhole heute 'bitte'.
bitter,,add English meaning,Hast du Zucker? Der Tee ist sehr bitter.
blass,,add English meaning,Du siehst ganz blass aus. Bist du krank?
Blatt,das,add English meaning,Die Bäume bekommen schon gelbe Blätter.
bleiben,,add English meaning,Ich bleibe heute zu Hause.
Bleistift,der,add English meaning,Hast du einen Bleistift für mich?
Blick,der,add English meaning,Von hier hat man einen tollen Blick über die Stadt.
blind,,add English meaning,Er ist von Geburt an blind.
blitzen,,add English meaning,Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert.
Blitz,der,add English meaning,Der Blitz ist ein nützliches Wort.
blond,,add English meaning,Mein Sohn ist blond.
bloß,,add English meaning,Ich möchte nichts kaufen. Ich möchte mich bloß umsehen.
blühen,,add English meaning,Die Bäume blühen schon. Es ist Frühling.
Blume,die,add English meaning,Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.
Bluse,die,add English meaning,Ich hätte gerne eine weiße Bluse.
bluten,,add English meaning,Ich habe mich verletzt. Meine Hand blutet.
Blut,das,add English meaning,Das Blut ist heute wichtig.
Boden,der,add English meaning,Die Bücher lagen alle auf dem Boden.
Boot,das,add English meaning,An diesem See kann man Boote mieten.
Botschaft,die,add English meaning,Das Visum habe ich von der Botschaft bekommen.
böse,,add English meaning,Ich habe das Buch leider vergessen. Hoffentlich bist du mir nicht böse.
braten,,add English meaning,Das Fleisch muss zehn Minuten braten.
Braten,der,add English meaning,Ich brauche ein Auto.
brechen,,add English meaning,"Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen."
breit,,add English meaning,Der Teppich ist zwei Meter lang und einen Meter breit.
Breite,die,add English meaning,Die Breite passt gut zu diesem Thema.
bremsen,,add English meaning,Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.
Bremse,die,add English meaning,Du musst unbedingt die Bremsen kontrollieren lassen.
brennen,,add English meaning,In diesem Haus hat es letztes Jahr gebrannt.
Brief,der,add English meaning,Ich schreibe nicht gern Briefe.
Briefkasten,der,add English meaning,Ist hier in der Nähe ein Briefkasten?
Briefträger,der,add English meaning,Der Briefträger ist heute wichtig.
Brille,die,add English meaning,Ich brauche eine neue Brille.
bringen,,add English meaning,Bringen Sie mir bitte ein Glas Tee!
Broschüre,die,add English meaning,In der Broschüre finden Sie die neuesten Informationen.
Brot,das,add English meaning,"Brot kaufe ich immer beim Bäcker, nicht im Supermarkt."
Brötchen,das,add English meaning,A:Ich hole schnell ein paar Brötchen zum li Frühstück.
Brötli,das,add English meaning,D:Ich hole schnell ein paar Brötli zum Frühstück.
Brücke,die,add English meaning,Fahren Sie über die nächste Brücke und dann rechts.
Bruder,der,add English meaning,Mein jüngster Bruder geht noch zur Schule.
Bub,der,add English meaning,D: In der Schulklasse sind 15 Buben und 10 Mädchen.
Buch,das,add English meaning,Haben Sie ein Buch über die Geschichte von Berlin?
Buchhandlung,die,add English meaning,In der Buchhandlung in der Stadt haben sie das Buch sicher.
buchen,,add English meaning,Ich habe für morgen einen Flug nach Rom gebucht.
buchstabieren,,add English meaning,Würden Sie Ihren Namen bitte buchstabieren?
Buchstabe,der,add English meaning,Gibt es diesen Buchstaben auch in deiner Muttersprache?
Büchse,die,add English meaning,Ich habe noch eine Büchse Bohnen.
Buffet,das,add English meaning,Das Buffet ist eröffnet!
Bühne,die,add English meaning,Er steht gern auf der Bühne.
Café,das,add English meaning,Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.
bunt,,add English meaning,Das bunte Kleid gefällt mir gut.
Burg,die,add English meaning,Von der Burg hat man eine schöne Aussicht.
Bürger,der,add English meaning,EU-Bürgerinnen und Bürger können überall in Europa arbeiten.
Bürgerin,die,add English meaning,Die Bürgerin kommt in der Prüfung vor.
Büro,das,add English meaning,Unser Büro bleibt samstags geschlossen.
Bürste,die,add English meaning,Hast du eine Bürste? Meine Schuhe sind so schmutzig.
Zahnbürste,die,add English meaning,Ich brauche eine neue Zahnbürste.
Bus,der,add English meaning,Ich fahre meistens mit dem Bus zur Arbeit.
Butter,die,add English meaning,Ich möchte nur Butter aufs Brot.
Chance,die,add English meaning,"Mein Mann hat gute Chancen, die Stelle zu bekommen."
Chef,der,add English meaning,Der Chef passt gut zu diesem Thema.
Chefin,die,add English meaning,da muss ich erst die Chefin fragen.
chic/schick,,add English meaning,Ich finde dein Kleid sehr chick.
Coiffeur,der,add English meaning,Der Coiffeur kommt in der Prüfung vor.
Coiffeuse,die,add English meaning,Coiffeur? Meine Tochter will Coiffeuse werden.
Couch,die,add English meaning,Wir haben uns eine Couch und neue Sessel gekauft.
Creme,die,add English meaning,Ich hätte gern eine Creme für die Hände.
Cousin,der,add English meaning,Meine Cousine wohnt jetzt in Brasilien.
Cousine,die,add English meaning,Die Cousine kommt in der Prüfung vor.
da,,add English meaning,Dieses Wort heißt 'da'.
dabei,,add English meaning,Was hast du dir dabei gedacht?
Dach,das,add English meaning,Wir müssen das Dach reparieren lassen.
dafür,,add English meaning,Meine Schwester interessiert sich für Politik. Ich interessiere mich nicht dafür.
dagegen,,add English meaning,"Vorsicht, da ist ein Baum! Fahr nicht dagegen!"
daher,,add English meaning,"Ich bin erkältet, daher kann ich heute nicht kommen."
dahin,,add English meaning,Ich wiederhole heute 'dahin'.
damals,,add English meaning,Mit 15 wollte ich gerne Klavier spielen lernen. Aber damals hatte ich kein Geld dafür.
Dame,die,add English meaning,Sie ist eine nette alte Dame.
damit,,add English meaning,"Mach schnell, damit wir nicht zu spät kommen."
danach,,add English meaning,"Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon."
daneben,,add English meaning,"Du weißt doch, wo die Post ist. Gleich daneben ist die Bank."
danken,,add English meaning,Ich danke dir für die Einladung.
Dank,der,add English meaning,Vielen Dank für Ihre Mühe.
dankbar,,add English meaning,Ich bin Ihnen sehr dankbar für Ihre Hilfe.
danke,,add English meaning,"Soll ich Ihnen helfen? Nein, danke, nicht nötig."
dann,,add English meaning,"Ich muss noch schnell zur Post, dann komme ich."
darstellen,,add English meaning,Er konnte das Problem sehr gut darstellen.
Darstellung,die,add English meaning,Ihr Buch enthält eine klare Darstellung dieser Probleme.
dass,,add English meaning,"Rico hat mir gesagt, dass er auch zur Party kommt."
Datei,die,add English meaning,Wo hast du die Datei gespeichert?
Datum,das,add English meaning,Welches Datum haben wir heute?
Daten,die,add English meaning,Wir haben alle Ihre Daten im Computer.
dauern,,add English meaning,Wie lange dauert die Pause? – Eine halbe Stunde.
Dauer,die,add English meaning,Die Dauer kommt in der Prüfung vor.
dauernd,,add English meaning,Das dauernde Klingeln des Telefons stört mich.
Decke,die,add English meaning,Im Wohnzimmer haben wir keine Lampe an der Decke.
dekorieren,,add English meaning,"Hilfst du mir, den Tisch für die Party zu dekorieren?"
denken,,add English meaning,Du lachst was denkst du gerade?
Gedanke,der,add English meaning,Ich muss zuerst meine Gedanken sammeln.
Denkmal,das,add English meaning,In dieser Stadt gibt es viele berühmte Denkmäler.
denn,,add English meaning,"Ich lerne jetzt auch Portugiesisch, denn ich möchte nach Südamerika reisen."
derselbe,,add English meaning,Mein Freund und ich gehen in dieselbe Schule.
deshalb,,add English meaning,Ich war krank. Deshalb war ich nicht im Büro.
Dessert,das,add English meaning,"D, A: Nach dem Essen gab es noch ein leckeres Dessert."
deswegen,,add English meaning,Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.
Detail,das,add English meaning,Dieses Detail ist unwichtig.
deutlich,,add English meaning,Schreiben Sie bitte deutlich!
Diät,die,add English meaning,Ich möchte abnehmen. Deshalb mache ich eine Diät.
Dialekt,der,add English meaning,"Ich verstehe dich besser, wenn du nicht Dialekt sprichst."
Dialog,der,add English meaning,Sie hören jetzt einen Dialog.
dicht,,add English meaning,Unsere Fenster sind nicht dicht. Es zieht immer.
dick,,add English meaning,Ich bin zu dick. Ich muss weniger essen.
Dieb,der,add English meaning,Ein Dieb hat mir auf dem Markt die Tasche gestohlen.
dienen,,add English meaning,Solche Kontakte dienen der Verbesserung der internationalen Beziehungen.
Dienst,der,add English meaning,Als Krankenschwester habe ich oft Frühdienst.
diesdiesmal,,add English meaning,Wohin fährst du dieses Jahr in Urlaub?
digital,,add English meaning,Ich habe eine Digitaluhr gekauft. Die geht genauer als meine alte Uhr.
Ding,das,add English meaning,Gib mir bitte mal das Ding da drüben.
Diplom,das,add English meaning,Wo kann ich mein Diplom abholen?
direkt,,add English meaning,Wir liefern Ihnen die Waren direkt ins Haus.
Direktor,der,add English meaning,Der Direktor passt gut zu diesem Thema.
Direktorin,die,add English meaning,Die Direktorin ist heute wichtig.
Diskothek,die,add English meaning,Wir gehen heute Abend in die Disko(thek).
diskutieren,,add English meaning,"Wir haben lange diskutiert, wie wir das nstediskutierte, hat diskutiertBüro einrichten sollen."
Diskussion,die,add English meaning,-en Im Fernsehen gab es eine Diskussion zum Thema „Kinderbetreuung“. Diese Firma transportiert Waren auch über große Distanzen.
Distanz,die,add English meaning,Die Distanz passt gut zu diesem Thema.
doch,,add English meaning,"Isst du kein Fleisch? – Doch, manchmal schon."
Doktor,der,add English meaning,Ist Frau Dr. Müller da?
Doktorin,die,add English meaning,Meine Tochter ist krank. Wir gehen zum Doktor.
Dokument,das,add English meaning,Hast du alle Dokumente für die Anmeldung dabei?
donnern,,add English meaning,Hörst du es donnern? Das Gewitter kommt näher.
Donner,der,add English meaning,Der Donner ist heute wichtig.
dort,,add English meaning,Dort drüben ist der Bahnhof.
dorthin,,add English meaning,'dorthin' kommt in vielen Texten vor.
Dose,die,add English meaning,"D, CH: Ich habe noch eine Dose Bohnen."
draußen,,add English meaning,Es ist kalt draußen.
Dreck,der,add English meaning,Iss den Apfel nicht! Der lag im Dreck.
drehen,,add English meaning,Drehen Sie zum Einschalten den Schalter nach rechts.
dringend,,add English meaning,Ich muss dich dringend sprechen.
drin,,add English meaning,Wo wollt ihr sitzen? Draußen oder drinnen?
Droge,die,add English meaning,Nimmst du etwa Drogen?
Drogerie,die,add English meaning,Waschmittel bekommst du in der Drogerie.
drüben,,add English meaning,Dort drüben ist die Haltestelle.
drucken,,add English meaning,Warum hast du den Brief noch nicht ausgedruckt?
Drucker,der,add English meaning,Sie brauchen nur auf den Knopf zu drücken.
Druck,der,add English meaning,Mit einem Knopfdruck schaltet man das Gerät ein.
dumm,,add English meaning,"Entschuldigung, das war dumm von mir."
dunkel,,add English meaning,Um sechs Uhr ist es schon dunkel.
dünn,,add English meaning,Mein Sohn ist sehr dünn. Er isst zu wenig.
durch,,add English meaning,Wir sind mit dem Fahrrad durch den Wald gefahren.
durcheinander,,add English meaning,Alle meine Sachen sind durcheinander. Ich finde nichts mehr.
Durchsage,die,add English meaning,"Achtung, Achtung, eine wichtige Durchsage!"
Durchschnitt,der,add English meaning,Der Durchschnitt der Ausgaben liegt bei 150 Euro im Monat.
eben,,add English meaning,Ich bin eben erst angekommen.
durchschnittlich,,add English meaning,'durchschnittlich' kommt in vielen Texten vor.
ebenfalls,,add English meaning,"Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls."
dürfen,,add English meaning,Dürfen wir heute länger fernsehen?
als Modalverb),,add English meaning,Das hätten Sie nicht machen dürfen! Was darf ich Ihnen anbieten? Ich suche ein gebrauchtes Auto. Es darf nicht mehr als 1000 Euro kosten.
Durst,der,add English meaning,Der Durst kommt in der Prüfung vor.
durstig duschen,,add English meaning,Dieses Wort heißt 'durstig duschen'.
ebenso,,add English meaning,"Schöne Feiertage. – Danke, ebenso."
Dusche,die,add English meaning,Die Dusche ist heute wichtig.
duzen,,add English meaning,Das Verb 'duzen' ist wichtig.
geduzt,,add English meaning,wir können uns gern duzen?
e-card,die,add English meaning,Die e-card ist ein nützliches Wort.
echt,,add English meaning,Ich träume von einem echten Perserteppich.
ec-Karte/EC-Karte A: Bankomat-Karte,die,add English meaning,Die ec-Karte ist heute wichtig.
Ecke,die,add English meaning,Das Regal stellen wir hier in die Ecke.
Eck,das,add English meaning,Das Regal stellen wir hier ins Eck.
eckig,,add English meaning,"Ich möchte einen eckigen Tisch, keinen runden."
egal,,add English meaning,"Es ist mir ganz egal, was die Leute denken."
Ehe,die,add English meaning,Sie hat zwei Kinder aus erster Ehe.
Ehefrau,die,add English meaning,Wie heißt Ihre Ehefrau mit Vornamen?
Ehepaar,das,add English meaning,Das Ehepaar unter uns hat zwei Kinder.
eher,,add English meaning,Ich stehe meist eher auf als mein Mann.
ehrlich,,add English meaning,Sie ist ein ehrlicher Mensch.
Ei,das,add English meaning,Möchtest du zum Frühstück ein Ei?
eigeneigentlich,,add English meaning,Fast jedes Kind hat ein eigenes Zimmer.
sich eignen,,add English meaning,Dieses Hotel eignet sich besonders für Familien mit Kindern.
eilen,,add English meaning,'eilen' kommt in vielen Texten vor.
Eile,die,add English meaning,Die Eile passt gut zu diesem Thema.
eilig,,add English meaning,Ich übe das Wort 'eilig'.
eindie Einbahnstraße,,add English meaning,Ich nehme ein Bier. Willst du auch eins?
einbrechen,,add English meaning,Jemand ist in unsere Wohnung eingebrochen.
Einbrecher,der,add English meaning,Der Einbrecher ist ein nützliches Wort.
Einbruch,der,add English meaning,", ¨-e In der Urlaubszeit gibt es viele Wohnungseinbrüche."
eindeutig,,add English meaning,Das Ergebnis ist eindeutig. Du hast gewonnen.
Eindruck,der,add English meaning,Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck?
einerseits,,add English meaning,"Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer."
einfach,,add English meaning,"Hin und zurück? – Nein, bitte nur einfach."
Einfahrt,die,add English meaning,Da parkt wieder jemand vor unserer Einfahrt.
einfallen,,add English meaning,"ein, Mir ist wieder eingefallen, wie das Buch heißt."
Einfall,der,add English meaning,Der Einfall steht auf meiner Liste.
Einfluss,der,add English meaning,Der Einfluss kommt in der Prüfung vor.
beeinflussen,,add English meaning,Dieses Ereignis hat die Wahlen beeinflusst.
einfügen,,add English meaning,"Markieren Sie zuerst die Zeilen, dann „kopieren“ drücken und dann einfügen."
einführen,,add English meaning,Dürfen wir diese Ware ins Land einführen?
Einführung,die,add English meaning,Leider habe ich die Einführung des Kurses verpasst.
