word,article,english,example
blass,,pale,Du siehst ganz blass aus. Bist du krank?
Blatt,das,leaf; sheet,Die Bäume bekommen schon gelbe Blätter.
bleiben,,to stay; to remain,Ich bleibe heute zu Hause.
Bleistift,der,pencil,Hast du einen Bleistift für mich?
Blick,der,view; glance,Von hier hat man einen tollen Blick über die Stadt.
blind,,blind,Er ist von Geburt an blind.
blitzen,,to flash lightning,Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert.
Blitz,der,lightning,Der Blitz ist ein nützliches Wort.
blond,,blond,Mein Sohn ist blond.
bloß,,only; just,Ich möchte nichts kaufen. Ich möchte mich bloß umsehen.
blühen,,to bloom,Die Bäume blühen schon. Es ist Frühling.
Blume,die,flower,Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.
Bluse,die,blouse,Ich hätte gerne eine weiße Bluse.
bluten,,to bleed,Ich habe mich verletzt. Meine Hand blutet.
Blut,das,blood,Das Blut ist heute wichtig.
Boden,der,floor; ground,Die Bücher lagen alle auf dem Boden.
Boot,das,boat,An diesem See kann man Boote mieten.
Botschaft,die,embassy; message,Das Visum habe ich von der Botschaft bekommen.
böse,,angry; evil,Ich habe das Buch leider vergessen. Hoffentlich bist du mir nicht böse.
braten,,to roast; to fry,Das Fleisch muss zehn Minuten braten.
Braten,der,roast,Der Braten ist fertig.
brechen,,to break,"Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen."
breit,,wide; broad,Der Teppich ist zwei Meter lang und einen Meter breit.
Breite,die,width,Die Breite passt gut zu diesem Thema.
bremsen,,to brake,Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.
Bremse,die,brake,Du musst unbedingt die Bremsen kontrollieren lassen.
brennen,,to burn,In diesem Haus hat es letztes Jahr gebrannt.
Brief,der,letter,Ich schreibe nicht gern Briefe.
Briefkasten,der,mailbox; letterbox,Ist hier in der Nähe ein Briefkasten?
Briefträger,der,mail carrier; postman,Der Briefträger ist heute wichtig.
Brille,die,glasses,Ich brauche eine neue Brille.
bringen,,to bring,Bringen Sie mir bitte ein Glas Tee!
Broschüre,die,brochure,In der Broschüre finden Sie die neuesten Informationen.
Brot,das,bread,"Brot kaufe ich immer beim Bäcker, nicht im Supermarkt."
Brötchen,das,bread roll,Ich hole schnell ein paar Brötchen zum Frühstück.
Brötli,das,bread roll,Ich hole schnell ein paar Brötli zum Frühstück.
Brücke,die,bridge,Fahren Sie über die nächste Brücke und dann rechts.
Bruder,der,brother,Mein jüngster Bruder geht noch zur Schule.
Bub,der,boy,In der Schulklasse sind 15 Buben und 10 Mädchen.
Buch,das,book,Haben Sie ein Buch über die Geschichte von Berlin?
Buchhandlung,die,bookstore,In der Buchhandlung in der Stadt haben sie das Buch sicher.
buchen,,to book,Ich habe für morgen einen Flug nach Rom gebucht.
buchstabieren,,to spell,Würden Sie Ihren Namen bitte buchstabieren?
Buchstabe,der,letter; character,Gibt es diesen Buchstaben auch in deiner Muttersprache?
Büchse,die,can; tin,Ich habe noch eine Büchse Bohnen.
Buffet,das,buffet,Das Buffet ist eröffnet!
Bühne,die,stage,Er steht gern auf der Bühne.
Café,das,cafe,Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.
bunt,,colorful,Das bunte Kleid gefällt mir gut.
Burg,die,castle; fortress,Von der Burg hat man eine schöne Aussicht.
Bürger,der,citizen,EU-Bürgerinnen und Bürger können überall in Europa arbeiten.
Bürgerin,die,citizen,Die Bürgerin kommt in der Prüfung vor.
Büro,das,office,Unser Büro bleibt samstags geschlossen.
Bürste,die,brush,Hast du eine Bürste? Meine Schuhe sind so schmutzig.
Zahnbürste,die,toothbrush,Ich brauche eine neue Zahnbürste.
Bus,der,bus,Ich fahre meistens mit dem Bus zur Arbeit.
Butter,die,butter,Ich möchte nur Butter aufs Brot.
Chance,die,chance; opportunity,"Mein Mann hat gute Chancen, die Stelle zu bekommen."
Chef,der,boss; chief,Der Chef passt gut zu diesem Thema.
Chefin,die,boss; chief,Da muss ich erst die Chefin fragen.
chic/schick,,chic; stylish,Ich finde dein Kleid sehr chick.
Coiffeur,der,hairdresser,Der Coiffeur kommt in der Prüfung vor.
Coiffeuse,die,hairdresser,Meine Tochter will Coiffeuse werden.
Couch,die,couch; sofa,Wir haben uns eine Couch und neue Sessel gekauft.
Creme,die,cream,Ich hätte gern eine Creme für die Hände.
Cousin,der,cousin,Mein Cousin wohnt jetzt in Brasilien.
Cousine,die,cousin,Die Cousine kommt in der Prüfung vor.
da,,there; here,Dieses Wort heißt 'da'.
dabei,,with it; in the process,Was hast du dir dabei gedacht?
Dach,das,roof,Wir müssen das Dach reparieren lassen.
dafür,,for it; for that,Meine Schwester interessiert sich für Politik. Ich interessiere mich nicht dafür.
dagegen,,against it; against that,"Vorsicht, da ist ein Baum! Fahr nicht dagegen!"
daher,,therefore; hence,"Ich bin erkältet, daher kann ich heute nicht kommen."
dahin,,there; to there,Ich wiederhole heute 'dahin'.
damals,,back then; at that time,Mit 15 wollte ich gerne Klavier spielen lernen. Aber damals hatte ich kein Geld dafür.
Dame,die,lady; woman,Sie ist eine nette alte Dame.
damit,,so that; with it,"Mach schnell, damit wir nicht zu spät kommen."
danach,,afterwards; after that,"Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon."
daneben,,next to it; beside it,"Du weißt doch, wo die Post ist. Gleich daneben ist die Bank."
danken,,to thank,Ich danke dir für die Einladung.
Dank,der,thanks; gratitude,Vielen Dank für Ihre Mühe.
dankbar,,grateful,Ich bin Ihnen sehr dankbar für Ihre Hilfe.
danke,,thanks; thank you,"Soll ich Ihnen helfen? Nein, danke, nicht nötig."
dann,,then,"Ich muss noch schnell zur Post, dann komme ich."
darstellen,,to present; to portray,Er konnte das Problem sehr gut darstellen.
Darstellung,die,presentation; depiction,Ihr Buch enthält eine klare Darstellung dieser Probleme.
dass,,that,"Rico hat mir gesagt, dass er auch zur Party kommt."
Datei,die,file,Wo hast du die Datei gespeichert?
Datum,das,date,Welches Datum haben wir heute?
Daten,die,data,Wir haben alle Ihre Daten im Computer.
dauern,,to last; to take time,Wie lange dauert die Pause? – Eine halbe Stunde.
Dauer,die,duration,Die Dauer kommt in der Prüfung vor.
dauernd,,constant; continual,Das dauernde Klingeln des Telefons stört mich.
Decke,die,ceiling; blanket,Im Wohnzimmer haben wir keine Lampe an der Decke.
dekorieren,,to decorate,"Hilfst du mir, den Tisch für die Party zu dekorieren?"
denken,,to think,Du lachst was denkst du gerade?
Gedanke,der,thought,Ich muss zuerst meine Gedanken sammeln.
Denkmal,das,monument,In dieser Stadt gibt es viele berühmte Denkmäler.
denn,,because; then,"Ich lerne jetzt auch Portugiesisch, denn ich möchte nach Südamerika reisen."
derselbe,,the same,Mein Freund und ich gehen in dieselbe Schule.
deshalb,,therefore; for that reason,Ich war krank. Deshalb war ich nicht im Büro.
Dessert,das,dessert,"D, A: Nach dem Essen gab es noch ein leckeres Dessert."
deswegen,,therefore; because of that,Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.
Detail,das,detail,Dieses Detail ist unwichtig.
deutlich,,clear; clearly,Schreiben Sie bitte deutlich!
Diät,die,diet,Ich möchte abnehmen. Deshalb mache ich eine Diät.
Dialekt,der,dialect,"Ich verstehe dich besser, wenn du nicht Dialekt sprichst."
Dialog,der,dialogue,Sie hören jetzt einen Dialog.
dicht,,tight; dense,Unsere Fenster sind nicht dicht. Es zieht immer.
dick,,thick; fat,Ich bin zu dick. Ich muss weniger essen.
Dieb,der,thief,Ein Dieb hat mir auf dem Markt die Tasche gestohlen.
dienen,,to serve,Solche Kontakte dienen der Verbesserung der internationalen Beziehungen.
Dienst,der,service; duty; shift,Als Krankenschwester habe ich oft Frühdienst.
diesmal,,this time,Wohin fährst du dieses Jahr in Urlaub?
digital,,digital,Ich habe eine Digitaluhr gekauft. Die geht genauer als meine alte Uhr.
Ding,das,thing,Gib mir bitte mal das Ding da drüben.
Diplom,das,diploma; degree,Wo kann ich mein Diplom abholen?
direkt,,direct; directly,Wir liefern Ihnen die Waren direkt ins Haus.
Direktor,der,director; principal,Der Direktor passt gut zu diesem Thema.
Direktorin,die,director; principal,Die Direktorin ist heute wichtig.
Diskothek,die,discotheque; club,Wir gehen heute Abend in die Disko(thek).
diskutieren,,to discuss,"Wir haben lange diskutiert, wie wir das Büro einrichten sollen."
Diskussion,die,discussion; debate,Im Fernsehen gab es eine Diskussion zum Thema „Kinderbetreuung“.
Distanz,die,distance,Die Distanz passt gut zu diesem Thema.
doch,,yes; after all; though,"Isst du kein Fleisch? – Doch, manchmal schon."
Doktor,der,doctor; PhD,Ist Frau Dr. Müller da?
Doktorin,die,doctor; PhD,Meine Tochter ist krank. Wir gehen zum Doktor.
Dokument,das,document,Hast du alle Dokumente für die Anmeldung dabei?
donnern,,to thunder,Hörst du es donnern? Das Gewitter kommt näher.
Donner,der,thunder,Der Donner ist heute wichtig.
dort,,there,Dort drüben ist der Bahnhof.
dorthin,,there; to there,'dorthin' kommt in vielen Texten vor.
Dose,die,can; tin,"D, CH: Ich habe noch eine Dose Bohnen."
draußen,,outside,Es ist kalt draußen.
Dreck,der,dirt,Iss den Apfel nicht! Der lag im Dreck.
drehen,,to turn; to rotate,Drehen Sie zum Einschalten den Schalter nach rechts.
dringend,,urgent,Ich muss dich dringend sprechen.
drin,,inside; in there,Wo wollt ihr sitzen? Draußen oder drinnen?
Droge,die,drug,Nimmst du etwa Drogen?
Drogerie,die,drugstore; pharmacy,Waschmittel bekommst du in der Drogerie.
drüben,,over there,Dort drüben ist die Haltestelle.
drucken,,to print,Warum hast du den Brief noch nicht ausgedruckt?
Drucker,der,printer,Sie brauchen nur auf den Knopf zu drücken.
Druck,der,pressure; print; push,Mit einem Knopfdruck schaltet man das Gerät ein.
dumm,,stupid; dumb,"Entschuldigung, das war dumm von mir."
dunkel,,dark,Um sechs Uhr ist es schon dunkel.
dünn,,thin,Mein Sohn ist sehr dünn. Er isst zu wenig.
durch,,through,Wir sind mit dem Fahrrad durch den Wald gefahren.
durcheinander,,mixed up; in disorder,Alle meine Sachen sind durcheinander. Ich finde nichts mehr.
Durchsage,die,announcement,"Achtung, Achtung, eine wichtige Durchsage!"
Durchschnitt,der,average,Der Durchschnitt der Ausgaben liegt bei 150 Euro im Monat.
eben,,just; just now,Ich bin eben erst angekommen.
durchschnittlich,,average; on average,'durchschnittlich' kommt in vielen Texten vor.
ebenfalls,,also; likewise,"Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls."
dürfen,,to be allowed to; may,Dürfen wir heute länger fernsehen?
dürfen,,to be allowed to; may,Das hätten Sie nicht machen dürfen!
Durst,der,thirst,Der Durst kommt in der Prüfung vor.
durstig,,thirsty; to shower,Ich bin durstig.
ebenso,,likewise; just as,"Schöne Feiertage. – Danke, ebenso."
Dusche,die,shower,Die Dusche ist heute wichtig.
duzen,,to use informal you,Das Verb 'duzen' ist wichtig.
geduzt,,addressed informally,wir können uns gern duzen?
e-card,die,e-card; health insurance card,Die e-card ist ein nützliches Wort.
echt,,real; genuine,Ich träume von einem echten Perserteppich.
ec-Karte/EC-Karte,die,EC card; debit card,Die ec-Karte ist heute wichtig.
Ecke,die,corner,Das Regal stellen wir hier in die Ecke.
Eck,das,corner,Das Regal stellen wir hier ins Eck.
eckig,,angular; square,"Ich möchte einen eckigen Tisch, keinen runden."
egal,,does not matter; indifferent,"Es ist mir ganz egal, was die Leute denken."
Ehe,die,marriage,Sie hat zwei Kinder aus erster Ehe.
Ehefrau,die,wife,Wie heißt Ihre Ehefrau mit Vornamen?
Ehepaar,das,married couple,Das Ehepaar unter uns hat zwei Kinder.
eher,,rather; earlier,Ich stehe meist eher auf als mein Mann.
ehrlich,,honest,Sie ist ein ehrlicher Mensch.
Ei,das,egg,Möchtest du zum Frühstück ein Ei?
eigen/eigentlich,,own; actually,Fast jedes Kind hat ein eigenes Zimmer.
sich eignen,,to be suitable,Dieses Hotel eignet sich besonders für Familien mit Kindern.
eilen,,to hurry,'eilen' kommt in vielen Texten vor.
Eile,die,hurry; haste,Die Eile passt gut zu diesem Thema.
eilig,,urgent; in a hurry,Ich übe das Wort 'eilig'.
ein / die Einbahnstraße,,one; one-way street,Ich nehme ein Bier. Willst du auch eins?
einbrechen,,to break in,Jemand ist in unsere Wohnung eingebrochen.
Einbrecher,der,burglar,Der Einbrecher ist ein nützliches Wort.
Einbruch,der,break-in; burglary,In der Urlaubszeit gibt es viele Wohnungseinbrüche.
eindeutig,,clear; unambiguous,Das Ergebnis ist eindeutig. Du hast gewonnen.
Eindruck,der,impression,Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck?
einerseits,,on the one hand,"Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer."
einfach,,simple; single; one-way,"Hin und zurück? – Nein, bitte nur einfach."
Einfahrt,die,driveway; entrance,Da parkt wieder jemand vor unserer Einfahrt.
einfallen,,to occur to; to remember,"ein, Mir ist wieder eingefallen, wie das Buch heißt."
Einfall,der,idea,Der Einfall steht auf meiner Liste.
Einfluss,der,influence,Der Einfluss kommt in der Prüfung vor.
beeinflussen,,to influence,Dieses Ereignis hat die Wahlen beeinflusst.
einfügen,,to insert,"Markieren Sie zuerst die Zeilen, dann „kopieren“ drücken und dann einfügen."
einführen,,to import; to introduce,Dürfen wir diese Ware ins Land einführen?
Einführung,die,introduction,Leider habe ich die Einführung des Kurses verpasst.
Eingang,der,entrance,Das Gebäude hat zwei Eingänge.
einheitlich,,uniform; consistent,Die Schüler dieser Schule tragen einheitliche Kleidung.
einig / sich einigen,,some; to agree,In diesem Bericht sind einige Fehler.
einkaufen,,to shop,Wir gehen einmal pro Woche einkaufen.
Einkauf,der,shopping; purchase,Achten Sie beim Einkauf auf Sonderangebote. Ich habe alle Einkäufe erledigt. Jetzt können wir einen Kaffee trinken.
Einkommen,das,income,Bei einem höheren Einkommen muss man mehr Steuern zahlen. Darf ich Sie zum Essen einladen?
Einladung,die,invitation,Danke für die Einladung.
einmal,,once; one time,Ich habe diese Oper leider nur einmal gesehen.
einnehmen,,to take; to receive; to earn,Wie muss ich die Tropfen einnehmen?
Einnahme,die,income; taking medicine,Nehmen Sie das Medikament nach der Einnahme mit Wasser.
einpacken,,to pack,Ich wiederhole heute 'einpacken'.
einrichten,,to furnish; to set up,Ich habe meine Wohnung selbst eingerichtet.
Einrichtung,die,furnishing; institution,"n Deine Wohnung ist sehr gemütlich, die Einrichtung gefällt mir sehr gut."
einsam,,lonely,Ohne meine Familie fühle ich mich ein bisschen einsam.
einschalten,,to switch on,Können Sie bitte die Heizung einschalten?
einschließlich,,including,Alles zusammen kostet 200 Euro einschließlich Fahrtkosten.
Einschreiben,das,registered letter,Das Einschreiben ist angekommen.
einsteigen,,to get in; to board,Ich wiederhole heute 'einsteigen'.
einsteigen,,in; into,Steig ein. Wir wollen losfahren.
einstellen,,to hire; to adjust; to stop,Die Firma wird in diesem Jahr drei neue Leute einstellen.
eintragen,,to enter; to register,Tragen Sie sich bitte in die Liste ein.
eintreten,,to enter; to occur,'eintreten' kommt in vielen Texten vor.
Eintritt,der,admission; entrance fee,Der Eintritt passt gut zu diesem Thema.
einverstanden,,agreed; okay,"Als Termin schlage ich den Mai vor. – Gut, einverstanden!"
Einwohner,der,inhabitant; resident,Berlin hat über drei Millionen Einwohner.
einzahlen,,to deposit; to pay in,Ich habe gestern Geld auf mein Bankkonto eingezahlt.
Einzahlung,die,deposit; payment,Sie sollten die Einzahlung pünktlich machen.
einzeln / Einzel- / Einzelheit,,individual; detail,"Dieses Mineralwasser gibt es nur als Sechserpack, nicht einzeln."
einzig / einziehen,,only; to move in,Wir waren die einzigen Gäste.
Eis,das,ice; ice cream,Im Winter gibt es Eis und Schnee.
Glace/Glacé,das,ice cream,Das Glace ist ein nützliches Wort.
Eisenbahn,die,railway,Die Kinder wünschen sich eine elektrische Eisenbahn.
elegant,,elegant,Ich finde dein Kleid sehr elegant.
elektrisch / Elektro- / elektronisch,,electric; electronic,"Wir kochen nicht mit Gas, sondern elektrisch."
Eltern,die,parents,Ich wohne noch bei meinen Eltern.
empfangen,,to receive,Wir können mit unserem Fernseher über 30 Programme empfangen.
Empfang,der,reception; receipt,Bitte den Empfang bestätigen! Ich bin mit dem Fernseher nicht zufrieden. Der Empfang ist sehr schlecht. Zur Firmeneröffnung bitten wir zu einem kleinen Empfang.
Empfänger,der,recipient,Es fehlt die genaue Adresse des Empfängers. Was können Sie mir denn empfehlen?
Empfehlung,die,recommendation,Ich rufe auf Empfehlung von Herrn Weber an.
enden,,to end,Die Straße endet hier.
Ende,das,end,Das Ende kommt in der Prüfung vor.
endgültig,,final; definitive,'endgültig' kommt in vielen Texten vor.
endlich,,finally,Endlich haben wir eine schöne Wohnung gefunden.
Energie,die,energy,Wir müssen Energie sparen.
